tweet_text,all_hashtags
I wouldn't be surprised if this is on my most played songs in 2021 ☺️🎵🎸  https://t.co/bpHOBRIRyV  #Porcupinetree #StevenWilson #Music #Rock #Progressive #ProgressiveRock #Guitar #Spotify,"['Porcupinetree', 'StevenWilson', 'Music', 'Rock', 'Progressive', 'ProgressiveRock', 'Guitar', 'Spotify']"
#NOWPLAYING Blackbear - Why Are Girls?   CLICK TO LISTEN ➡️ https://t.co/vOgEUK2yXd    #freqnetwork #rock #pop #hiphopmusic #rap #playlists  #dance #hiphop #top40,"['NOWPLAYING', 'freqnetwork', 'rock', 'pop', 'hiphopmusic', 'rap', 'playlists', 'dance', 'hiphop', 'top40']"
Band Of Heathens @BandofHeathens - You're Gonna Miss Me https://t.co/lqb5l9jTn8 #Rock #Indie #Funk #Punk,"['Rock', 'Indie', 'Funk', 'Punk']"
Diabol Boruta - Marzanna - Smiercicha via #MightyMusic #NowPlaying #Barbwires.Com #Premier #Radio #Listen https://t.co/otiJh7eT0e 24 x 7 Hard #Rock and #Metal supporting Artists since 2000 at @MetallicRadio https://t.co/kUyzD8cGSA #Premier Radio,"['MightyMusic', 'NowPlaying', 'Barbwires', 'Premier', 'Radio', 'Listen', 'Rock', 'Metal', 'Premier']"
#NOWPLAYING :  Khalid &amp; Disclosure - Know Your Worth    LISTEN HERE ➡️ https://t.co/CaaGRrfjxk     #quoradio #qcradio #hiphop #rnb #pop #rock #top40 #radio #eclectic #onlineradio #listen #listening #hhm #QuarantineLife,"['NOWPLAYING', 'quoradio', 'qcradio', 'hiphop', 'rnb', 'pop', 'rock', 'top40', 'radio', 'eclectic', 'onlineradio', 'listen', 'listening', 'hhm', 'QuarantineLife']"
DARK ARENA - The Sight via #PureSteel #NowPlaying @MetallicRadio #Premier 24x7 Heavy Metal #Listen: https://t.co/ISUDRzcUti @MetallicRadio plays the newest 21st Century #Premier #ROCK https://t.co/otiJh7eT0e,"['PureSteel', 'NowPlaying', 'Premier', 'Listen', 'Premier', 'ROCK']"
Moe. at their best: i love this band!   @moeperiod #rock #jamband #buonanotte #goodnight   https://t.co/zGu5YQuIRj,"['rock', 'jamband', 'buonanotte', 'goodnight']"
What a cool review in the new  @rock_hard_de about our debut WEATHERED THE STORM. Thank you so much!! #rockhardmagazine #rockhardmagazin #rock #HeavyMetal https://t.co/MAd51WZ8PI,"['rockhardmagazine', 'rockhardmagazin', 'rock', 'HeavyMetal']"
Blizzard Hunter - The Murder via #PureSteel #NowPlaying #Barbwires.Com #Premier #Radio #Listen https://t.co/otiJh7eT0e 24 x 7 Hard #Rock and #Metal https://t.co/SzkoqXmX7V plays the newest 21st Century #Premier #Metal,"['PureSteel', 'NowPlaying', 'Barbwires', 'Premier', 'Radio', 'Listen', 'Rock', 'Metal', 'Premier', 'Metal']"
Albert Castiglia @AlbertCastiglia - THE HELL WAS I THINKING https://t.co/lqb5l9jTn8 #Rock #Indie #Funk #Punk,"['Rock', 'Indie', 'Funk', 'Punk']"
#NOWPLAYING :  The 411 - Dumb    LISTEN HERE ➡️ https://t.co/CaaGRrfjxk     #quoradio #qcradio #hiphop #rnb #pop #rock #top40 #radio #eclectic #onlineradio #listen #listening #hhm #QuarantineLife,"['NOWPLAYING', 'quoradio', 'qcradio', 'hiphop', 'rnb', 'pop', 'rock', 'top40', 'radio', 'eclectic', 'onlineradio', 'listen', 'listening', 'hhm', 'QuarantineLife']"
17. Jacob Miller - Tired Fe Lick Weed [One Love Peace Concert/Heartland ... https://t.co/OZr3ZUDWBV @YouTubeより  #jacobmiller  #ジェイコブミラー #ラスタライオン　#rastafari #レゲエ　#ルーツロックレゲエ #rock  #3J,"['jacobmiller', 'ジェイコブミラー', 'ラスタライオン', 'rastafari', 'レゲエ', 'ルーツロックレゲエ', 'rock', '3J']"
#NOWPLAYING Timbaland - Morning After Dark   CLICK TO LISTEN ➡️ https://t.co/vOgEUK2yXd    #freqnetwork #rock #pop #hiphopmusic #rap #playlists  #dance #hiphop #top40,"['NOWPLAYING', 'freqnetwork', 'rock', 'pop', 'hiphopmusic', 'rap', 'playlists', 'dance', 'hiphop', 'top40']"
Check out Marc Bolan - Sukita - Notecards - Ltd Edition Box Set - Sealed NEW - Japan 2002 https://t.co/bnl79GIyp9 @eBay - A beautiful set from Marc’s personal photographer. #marcbolan #trex #rock #1970s #glamrock #sukita #sealedset #photos #cards #box #pop ⁦@MarcBolan1977⁩,"['marcbolan', 'trex', 'rock', '1970s', 'glamrock', 'sukita', 'sealedset', 'photos', 'cards', 'box', 'pop']"
Remember when we told you our song #PreExistingCondition was on #AUDICA by @harmonixgames ? Well this is what it’s like to play it! Check it  out and hear a cool remix at the same time.   #tbt #prog #rock #band #rockband #guitarhero #harmonix #iwasawake #boston https://t.co/reCtUb9LNG,"['PreExistingCondition', 'AUDICA', 'tbt', 'prog', 'rock', 'band', 'rockband', 'guitarhero', 'harmonix', 'iwasawake', 'boston']"
"Added ""Regret"" by Josiah Rodda to my Deep Indie Dive #Playlist on #Spotify https://t.co/SJ1BrPNmfv @staticdive #newmusic #nowplaying #indiemusic #musicblog #pop #rock #indie https://t.co/pG3fzgAHMq","['Playlist', 'Spotify', 'newmusic', 'nowplaying', 'indiemusic', 'musicblog', 'pop', 'rock', 'indie']"
Alabama Shakes @Alabama_Shakes - This Feeling https://t.co/lqb5l9jTn8 #Rock #Indie #Funk #Punk,"['Rock', 'Indie', 'Funk', 'Punk']"
#NOWPLAYING Nivea - Dont Mess With My Man   CLICK TO LISTEN ➡️ https://t.co/vOgEUK2yXd    #freqnetwork #rock #pop #hiphopmusic #rap #playlists  #dance #hiphop #top40,"['NOWPLAYING', 'freqnetwork', 'rock', 'pop', 'hiphopmusic', 'rap', 'playlists', 'dance', 'hiphop', 'top40']"
"Hi @drunkofthestars!  This tweet auto added 🔥 My Demons 🔥 To playlist #ROCK 🤘  Auto curating &amp; rotating #SpotifyPlaylist, based on Tweets with hard rock music! https://t.co/dqZ0woZkf1","['ROCK', 'SpotifyPlaylist']"
Proke - Breathe via #7USMedia #NowPlaying #Barbwires.Com #Premier #Radio #Listen https://t.co/otiJh7eT0e 24 x 7 Hard #Rock and #Metal https://t.co/SzkoqXmX7V plays the newest 21st Century #Premier #Metal,"['7USMedia', 'NowPlaying', 'Barbwires', 'Premier', 'Radio', 'Listen', 'Rock', 'Metal', 'Premier', 'Metal']"
"#NOWPLAYING :  Kygo, Whitney Houston - Higher Love    LISTEN HERE ➡️ https://t.co/CaaGRrfjxk     #quoradio #qcradio #hiphop #rnb #pop #rock #top40 #radio #eclectic #onlineradio #listen #listening #hhm #QuarantineLife","['NOWPLAYING', 'quoradio', 'qcradio', 'hiphop', 'rnb', 'pop', 'rock', 'top40', 'radio', 'eclectic', 'onlineradio', 'listen', 'listening', 'hhm', 'QuarantineLife']"
"(MY REVIEW) @moeperiod - This Is Not, We Are / Not Normal   #moe #rock #jamband #newyork   https://t.co/xkNfbqAw3Y https://t.co/meLIEm6wHb","['moe', 'rock', 'jamband', 'newyork']"
It's the Big Fat American Rock Show on NEWHD with @zachmartinrocks. It's Big Fat @LedZeppelin followed by #rock from the #UK and awesome #ClassicRock and #NewRock @PaulMcCartney @PinkFloyd @RobertPlant @JimmyPage follow @NEWHD and #retweet!,"['rock', 'UK', 'ClassicRock', 'NewRock', 'retweet']"
Foo Fighters @foofighters - Shame Shame https://t.co/lqb5l9jTn8 #Rock #Indie #Funk #Punk,"['Rock', 'Indie', 'Funk', 'Punk']"
#NOWPLAYING Robin Thicke feat Kendrick Lamar &amp; 2 Chainz - Give It 2 U   CLICK TO LISTEN ➡️ https://t.co/vOgEUK2yXd    #freqnetwork #rock #pop #hiphopmusic #rap #playlists  #dance #hiphop #top40,"['NOWPLAYING', 'freqnetwork', 'rock', 'pop', 'hiphopmusic', 'rap', 'playlists', 'dance', 'hiphop', 'top40']"
Ever start liking a band years too late? I just started getting into The Cult. #thecult #classicrock #rock #tbt,"['thecult', 'classicrock', 'rock', 'tbt']"
You just dont care got a Devil's stair 🎶🎤   https://t.co/r0MZa3FMGz  #NowPlaying #music #indie #rock #sandinmyshoes,"['NowPlaying', 'music', 'indie', 'rock', 'sandinmyshoes']"
INVICTUS - The Hammer via #PureSteel #NowPlaying #Barbwires.Com #Premier #Radio #Listen https://t.co/otiJh7eT0e 24 x 7 Hard #Rock and #Metal supporting Artists since 2000 at @MetallicRadio https://t.co/kUyzD8cGSA #Premier Radio,"['PureSteel', 'NowPlaying', 'Barbwires', 'Premier', 'Radio', 'Listen', 'Rock', 'Metal', 'Premier']"
#NOWPLAYING Maroon 5 - Is Anybody Out There   CLICK TO LISTEN ➡️ https://t.co/vOgEUK2yXd    #freqnetwork #rock #pop #hiphopmusic #rap #playlists  #dance #hiphop #top40,"['NOWPLAYING', 'freqnetwork', 'rock', 'pop', 'hiphopmusic', 'rap', 'playlists', 'dance', 'hiphop', 'top40']"
"Now Playing, Ghost Funk Orchestra — Fuzzy Logic from Colemine Records Presents: Brighter Days Ahead #music #Rock","['music', 'Rock']"
#NOWPLAYING :  Mat Kearney - Kings and Queens    LISTEN HERE ➡️ https://t.co/CaaGRrfjxk     #quoradio #qcradio #hiphop #rnb #pop #rock #top40 #radio #eclectic #onlineradio #listen #listening #hhm #QuarantineLife,"['NOWPLAYING', 'quoradio', 'qcradio', 'hiphop', 'rnb', 'pop', 'rock', 'top40', 'radio', 'eclectic', 'onlineradio', 'listen', 'listening', 'hhm', 'QuarantineLife']"
Rufus - Tell Me Something Good https://t.co/lqb5l9jTn8 #Rock #Indie #Funk #Punk,"['Rock', 'Indie', 'Funk', 'Punk']"
#NOWPLAYING Jessie J - Casualty Of Love   CLICK TO LISTEN ➡️ https://t.co/vOgEUK2yXd    #freqnetwork #rock #pop #hiphopmusic #rap #playlists  #dance #hiphop #top40,"['NOWPLAYING', 'freqnetwork', 'rock', 'pop', 'hiphopmusic', 'rap', 'playlists', 'dance', 'hiphop', 'top40']"
No Fit State @nofitstatemusic - On Your Own https://t.co/lqb5l9jTn8 #Rock #Indie #Funk #Punk,"['Rock', 'Indie', 'Funk', 'Punk']"
We’re going global! 🌎 Check out this lovely article about us by Brazilian web #radio station @udioRockWebRdi1:  https://t.co/Y8HigiTQuJ  https://t.co/JEYuQn9ATP  https://t.co/8vNmhydLVr  #alternativerock #progressive #grunge #heavyrock #stonerrock #prog #rock #progrock #newmusic https://t.co/jv9mm6OMxd,"['radio', 'alternativerock', 'progressive', 'grunge', 'heavyrock', 'stonerrock', 'prog', 'rock', 'progrock', 'newmusic']"
"Our new album, Fever Dream by The Bedlam Furnaces on #bandcamp is available for pre-order with new track FUBAR - the song thay keeps getting more relevant... Listen and buy now directly from us: https://t.co/o5Ae4AU33F #NewMusic #NewAlbum #rock #progressive","['bandcamp', 'NewMusic', 'NewAlbum', 'rock', 'progressive']"
"mariosolise:Robert Wyatt (born 28 January 1945) is an English #musician, and founding #member of the influential Canterbury scene #rock #jazz #band Soft Machine, with a long and distinguished solo career. He is married to English painter and... https://t.co/pAX4GBRgpx","['musician', 'member', 'rock', 'jazz', 'band']"
#NOWPLAYING :  Jack Harlow - WHATS POPPIN    LISTEN HERE ➡️ https://t.co/CaaGRrfjxk     #quoradio #qcradio #hiphop #rnb #pop #rock #top40 #radio #eclectic #onlineradio #listen #listening #hhm #QuarantineLife,"['NOWPLAYING', 'quoradio', 'qcradio', 'hiphop', 'rnb', 'pop', 'rock', 'top40', 'radio', 'eclectic', 'onlineradio', 'listen', 'listening', 'hhm', 'QuarantineLife']"
STARGAZERY - Raise The Flag via #PureSteel #NowPlaying #Barbwires.Com #Premier #Radio #Listen https://t.co/otiJh7eT0e 24 x 7 Hard #Rock and #Metal https://t.co/SzkoqXmX7V plays the newest 21st Century #Premier #Metal,"['PureSteel', 'NowPlaying', 'Barbwires', 'Premier', 'Radio', 'Listen', 'Rock', 'Metal', 'Premier', 'Metal']"
@Neilyoung previews new 1990 live package with #CrazyHorse #WayDownInTheRustBucket @NeilYoungNYA @RepriseRecords @dhlovelife #rock #rocknews #musicnews #music #news @googlenews @YahooNews https://t.co/jqldpBI5XV https://t.co/Ox74owZzeK,"['CrazyHorse', 'WayDownInTheRustBucket', 'rock', 'rocknews', 'musicnews', 'music', 'news']"
Hey vintageklassix let’s follow #Jesus for He is the #Rock!,"['Jesus', 'Rock']"
"Johnny B's Punk Rock Kitchen Disco #233  We can love together, work together, sleep together  #Punk #Rock #Kitchen #Disco #ACR  https://t.co/DM6QlvGjMN","['Punk', 'Rock', 'Kitchen', 'Disco', 'ACR']"
The Devonns @RecordKicks - Tell Me https://t.co/lqb5l9jTn8 #Rock #Indie #Funk #Punk,"['Rock', 'Indie', 'Funk', 'Punk']"
#NOWPLAYING Raheem DeVaughn - Garden Of Luv   CLICK TO LISTEN ➡️ https://t.co/vOgEUK2yXd    #freqnetwork #rock #pop #hiphopmusic #rap #playlists  #dance #hiphop #top40,"['NOWPLAYING', 'freqnetwork', 'rock', 'pop', 'hiphopmusic', 'rap', 'playlists', 'dance', 'hiphop', 'top40']"
FREELY [Romans 3:24]   https://t.co/jkKJAXO5sK   #facebook #twitter #whatsapp #instagram #pinterest #public #global #wow #weibo #linkedin #cnn #bbc #time #wwf #onu #otan #greenpeace #usa #pugsnotdrugs #games #gamer #rock #gamergirl #nfl #ny #nyc #nike #opep #openrp #covid19 #got https://t.co/S18Xyic5Jg,"['facebook', 'twitter', 'whatsapp', 'instagram', 'pinterest', 'public', 'global', 'wow', 'weibo', 'linkedin', 'cnn', 'bbc', 'time', 'wwf', 'onu', 'otan', 'greenpeace', 'usa', 'pugsnotdrugs', 'games', 'gamer', 'rock', 'gamergirl', 'nfl', 'ny', 'nyc', 'nike', 'opep', 'openrp', 'covid19', 'got']"
"Day 1 TerraClear team headed to sunny California with the Rock Picker!    #terraclear #rock picker #agriculture #agtech @ Grangeville, Idaho https://t.co/b6DCGCXaMm","['terraclear', 'rock', 'agriculture', 'agtech']"
The Cars - Candy-O (2016 Remaster) https://t.co/lqb5l9jTn8 #Rock #Indie #Funk #Punk,"['Rock', 'Indie', 'Funk', 'Punk']"
Writings By Drummer &amp; Multi-instrumentalist Bill Rieflin in “Within Without” Now Available https://t.co/OyB2pdRBAh #Prog #Rock #Music #Books,"['Prog', 'Rock', 'Music', 'Books']"
